# Zerodha x10 latest summary (gocorepdfengine harness)

Runs: 10
Best throughput: 2941.49 ops/sec
Worst throughput: 2629.83 ops/sec
Mean throughput: 2739.27 ops/sec
Median throughput: 2703.77 ops/sec
Stddev throughput: 102.74 ops/sec
Mean avg latency: 16.825 ms
Mean peak allocated: 520.77 MB

| Run | Throughput | Avg latency | Peak allocated |
|-----|-----------:|------------:|---------------:|
| zerodha_run1.txt | 2699.79 ops/sec | 17.067 ms | 517.43 MB |
| zerodha_run2.txt | 2755.54 ops/sec | 16.806 ms | 516.07 MB |
| zerodha_run3.txt | 2707.75 ops/sec | 16.937 ms | 465.95 MB |
| zerodha_run4.txt | 2666.63 ops/sec | 17.277 ms | 526.99 MB |
| zerodha_run5.txt | 2941.49 ops/sec | 15.700 ms | 492.95 MB |
| zerodha_run6.txt | 2669.14 ops/sec | 17.205 ms | 539.50 MB |
| zerodha_run7.txt | 2663.43 ops/sec | 17.284 ms | 509.62 MB |
| zerodha_run8.txt | 2888.98 ops/sec | 15.890 ms | 546.89 MB |
| zerodha_run9.txt | 2629.83 ops/sec | 17.470 ms | 506.63 MB |
| zerodha_run10.txt | 2770.13 ops/sec | 16.612 ms | 585.64 MB |
